id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,poster_url,backdrop_url,release_year,release_month,popularity_level,rating_level,genres,genres_str
9495,en,The Crow,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven, watched over by a hypnotic crow, returns from the grave to exact revenge.",10.73270034790039,1994-05-11,The Crow,7.51800012588501,4343,https://image.tmdb.org/t/p/w342/rMMB3v6jYHjsvXRNJYESacoTD7j.jpg,https://image.tmdb.org/t/p/w780/cLqvQbP2utIKHRonwXnDjY3l1kk.jpg,1994,5,very high,good,"['Fantasy', 'Action', 'Thriller']","Fantasy, Action, Thriller"
8327,es,La montaña sagrada,The Alchemist assembles together a group of people from all walks of life to represent the planets in the solar system. The occult adept's intention is to put his recruits through strange mystical rites and divest them of their worldly baggage before embarking on a trip to Lotus Island. There they ascend the Holy Mountain to displace the immortal gods who secretly rule the universe.,3.1296000480651855,1973-11-29,The Holy Mountain,7.5,972,https://image.tmdb.org/t/p/w342/mP5FGQbNjFkrjcZ6AVHrvokPRe5.jpg,https://image.tmdb.org/t/p/w780/oUceCsSe255ZKXCMsHhqXM1xuUp.jpg,1973,11,medium,good,['Drama'],Drama
982,en,The Manchurian Candidate,"Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco, finds himself plagued by strange nightmares and soon races to uncover a terrible plot.",2.478600025177002,1962-10-24,The Manchurian Candidate,7.51800012588501,761,https://image.tmdb.org/t/p/w342/2xQ856kd9hw6bB3OnusGyTvvkwB.jpg,https://image.tmdb.org/t/p/w780/bbec0wDUaV8nQnQHC6Fb0fSYwNM.jpg,1962,10,medium,good,"['Thriller', 'Drama']","Thriller, Drama"
571,en,The Birds,Thousands of birds flock into a seaside town and terrorize the residents in a series of deadly attacks.,12.362299919128418,1963-03-28,The Birds,7.5,4312,https://image.tmdb.org/t/p/w342/eClg8QPg8mwB6INIC4pyR5pAbDr.jpg,https://image.tmdb.org/t/p/w780/il5zDHC5sGe3ZHLhVi3tNFZ9Tt5.jpg,1963,3,very high,good,"['Horror', 'Thriller']","Horror, Thriller"
456929,es,Campeones,"A disgraced basketball coach is given the chance to coach Los Amigos, a team of players who are intellectually disabled, and soon realizes they just might have what it takes to make it to the national championships.",2.7492001056671143,2018-04-06,Champions,7.517000198364258,757,https://image.tmdb.org/t/p/w342/m5z4Ud6Ya5EY3Eg3OBbVBaDKWK.jpg,https://image.tmdb.org/t/p/w780/8s231Ufkl9jF2JVnoZtQUxPXsSl.jpg,2018,4,medium,good,"['Comedy', 'Family', 'Drama']","Comedy, Family, Drama"
11782,cn,辣手神探,A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In order to get closer to the leaders of the ring he joins forces with an undercover cop who's working as a gangster hitman. They use all means of excessive force to find them.,7.850200176239014,1992-04-16,Hard Boiled,7.5,874,https://image.tmdb.org/t/p/w342/mbA77wY7fjh2TSQ3FxEuqpKOOA8.jpg,https://image.tmdb.org/t/p/w780/bL3rgYFs0NTAoLBMpCBIJ7aX6hp.jpg,1992,4,very high,good,"['Action', 'Thriller', 'Crime']","Action, Thriller, Crime"
614409,en,To All the Boys: Always and Forever,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,2.9834001064300537,2021-02-12,To All the Boys: Always and Forever,7.515999794006348,2005,https://image.tmdb.org/t/p/w342/iepqdM52f4w75fNcvgRF5QoIAjm.jpg,https://image.tmdb.org/t/p/w780/qjhcTGnjxYJqwBGlDzZkYWmne6e.jpg,2021,2,medium,good,"['Romance', 'Comedy', 'Drama']","Romance, Comedy, Drama"
10778,en,The Man Who Wasn't There,"A tale of murder, crime and punishment set in the summer of 1949. Ed Crane, a barber in a small California town, is dissatisfied with his life, but his wife Doris' infidelity and a mysterious opportunity presents him with a chance to change it.",1.6821999549865723,2001-10-26,The Man Who Wasn't There,7.515999794006348,1672,https://image.tmdb.org/t/p/w342/lrCgt8NNMyFsfmXyXiSSCRXNH4u.jpg,https://image.tmdb.org/t/p/w780/xwjVHxKKk2hb6CJX46U4Cv0Zq0a.jpg,2001,10,low,good,"['Crime', 'Drama']","Crime, Drama"
828613,en,About Fate,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",4.889500141143799,2022-09-08,About Fate,7.5,475,https://image.tmdb.org/t/p/w342/fabZkaVHYJ67KbZx7oFoitauX34.jpg,https://image.tmdb.org/t/p/w780/30COvn7g7PP58wBkrnnh7Ws9bJS.jpg,2022,9,high,good,"['Romance', 'Comedy']","Romance, Comedy"
575604,ko,콜,"Connected by phone in the same home but 20 years apart, a caller puts a woman’s past — and life — on the line to change her own fate.",5.213500022888184,2020-11-23,The Call,7.513999938964844,910,https://image.tmdb.org/t/p/w342/oz8hvZHg7tIdGwh0ErPRhobJKPR.jpg,https://image.tmdb.org/t/p/w780/iDw6J49rf7Xlu9QZBWpvmrMqSzI.jpg,2020,11,high,good,"['Thriller', 'Mystery', 'Science Fiction']","Thriller, Mystery, Science Fiction"
